Code,Year,Population
CIV,2010,21120042
CIV,2011,21562914
CIV,2012,22010712
CIV,2013,22469268
CIV,2014,22995555
CIV,2015,23596741
CIV,2016,24213622
CIV,2017,24848016
CIV,2018,25493988
CIV,2019,26147551
HRV,1990,4777368
HRV,1991,4689022
HRV,1992,4575818
HRV,1993,4600463
HRV,1994,4652024
HRV,1995,4620030
HRV,1996,4557097
HRV,1997,4534920
HRV,1998,4532135
HRV,1999,4512597
HRV,2000,4468302
HRV,2001,4299642
HRV,2002,4302174
HRV,2003,4303399
HRV,2004,4304600
HRV,2005,4310145
HRV,2006,4311159
HRV,2007,4310217
HRV,2008,4309705
HRV,2009,4305181
HRV,2010,4295427
HRV,2011,4280622
HRV,2012,4267558
HRV,2013,4255689
HRV,2014,4238389
HRV,2015,4203604
HRV,2016,4174349
HRV,2017,4124531
HRV,2018,4087843
HRV,2019,4065253
CUB,1990,10626680
CUB,1991,10713812
CUB,1992,10783748
CUB,1993,10840934
CUB,1994,10887207
CUB,1995,10926703
CUB,1996,10963031
CUB,1997,10998129
CUB,1998,11033758
CUB,1999,11070094
CUB,2000,11105791
CUB,2001,11139127
CUB,2002,11170051
CUB,2003,11199217
CUB,2004,11225294
CUB,2005,11246114
CUB,2006,11260630
CUB,2007,11269887
CUB,2008,11276609
CUB,2009,11283185
CUB,2010,11290417
CUB,2011,11298710
CUB,2012,11309290
CUB,2013,11321579
CUB,2014,11332026
CUB,2015,11339894
CUB,2016,11342012
CUB,2017,11336405
CUB,2018,11328244
CUB,2019,11316697
CYP,1990,788500
CYP,1991,799061
CYP,1992,810431
CYP,1993,825986
CYP,1994,844444
CYP,1995,862418
CYP,1996,880058
CYP,1997,897471
CYP,1998,914660
CYP,1999,931600
CYP,2000,948237
CYP,2001,964830
CYP,2002,982194
CYP,2003,1000350
CYP,2004,1018684
CYP,2005,1037062
CYP,2006,1055438
CYP,2007,1073873
CYP,2008,1092390
CYP,2009,1110974
CYP,2010,1129686
CYP,2011,1145086
CYP,2012,1156556
CYP,2013,1166968
CYP,2014,1176995
CYP,2015,1187280
CYP,2016,1197881
CYP,2017,1208523
CYP,2018,1218831
CYP,2019,1228836
CZE,1990,10333355
CZE,1991,10308578
CZE,1992,10319123
CZE,1993,10329855
CZE,1994,10333587
CZE,1995,10327253
CZE,1996,10315241
CZE,1997,10304131
CZE,1998,10294373
CZE,1999,10283860
CZE,2000,10255063
CZE,2001,10216605
CZE,2002,10196916
CZE,2003,10193998
CZE,2004,10197101
CZE,2005,10211216
CZE,2006,10238905
CZE,2007,10298828
CZE,2008,10384603
CZE,2009,10443936
CZE,2010,10474410
CZE,2011,10496088
CZE,2012,10510785
CZE,2013,10514272
CZE,2014,10525347
CZE,2015,10546059
CZE,2016,10566332
CZE,2017,10594438
CZE,2018,10629928
CZE,2019,10671870
DNK,1990,5140939
DNK,1991,5154298
DNK,1992,5171370
DNK,1993,5188628
DNK,1994,5206180
DNK,1995,5233373
DNK,1996,5263074
DNK,1997,5284991
DNK,1998,5304219
DNK,1999,5321799
DNK,2000,5339616
DNK,2001,5358783
DNK,2002,5375931
DNK,2003,5390574
DNK,2004,5404523
DNK,2005,5419432
DNK,2006,5437272
DNK,2007,5461438
DNK,2008,5493621
DNK,2009,5523095
DNK,2010,5547683
DNK,2011,5570572
DNK,2012,5591572
DNK,2013,5614932
DNK,2014,5643475
DNK,2015,5683483
DNK,2016,5728010
DNK,2017,5764980
DNK,2018,5793636
DNK,2019,5814422
DJI,1990,577173
DJI,1991,628521
DJI,1992,623197
DJI,1993,611231
DJI,1994,623477
DJI,1995,629619
DJI,1996,644649
DJI,1997,667786
DJI,1998,694920
DJI,1999,719371
DJI,2000,742033
DJI,2001,765490
DJI,2002,789129
DJI,2003,806411
DJI,2004,818373
DJI,2005,830861
DJI,2006,846947
DJI,2007,865196
DJI,2008,882886
DJI,2009,901103
DJI,2010,919199
DJI,2011,936811
DJI,2012,954297
DJI,2013,971753
DJI,2014,989087
DJI,2015,1006259
DJI,2016,1023261
DJI,2017,1040233
DJI,2018,1057198
DJI,2019,1073994
DMA,1990,69481
DMA,1991,69141
DMA,1992,69112
DMA,1993,69169
DMA,1994,69198
DMA,1995,69201
DMA,1996,69166
DMA,1997,69081
DMA,1998,68938
DMA,1999,68698
DMA,2000,68346
DMA,2001,68153
DMA,2002,68262
DMA,2003,68442
DMA,2004,68574
DMA,2005,68674
DMA,2006,68742
DMA,2007,68775
DMA,2008,68782
DMA,2009,68787
DMA,2010,68755
DMA,2011,68742
DMA,2012,68888
DMA,2013,68819
DMA,2014,69371
DMA,2015,70007
DMA,2016,70075
DMA,2017,70403
DMA,2018,70823
DMA,2019,71428
DOM,1990,7129004
DOM,1991,7278402
DOM,1992,7427340
DOM,1993,7576074
DOM,1994,7723934
DOM,1995,7869753
DOM,1996,8012314
DOM,1997,8150076
DOM,1998,8282126
DOM,1999,8411374
DOM,2000,8540791
DOM,2001,8669040
DOM,2002,8795101
DOM,2003,8919852
DOM,2004,9043127
DOM,2005,9164768
DOM,2006,9284168
DOM,2007,9402206
DOM,2008,9522948
DOM,2009,9648061
DOM,2010,9775755
DOM,2011,9903737
DOM,2012,10030882
DOM,2013,10157051
DOM,2014,10282115
DOM,2015,10405832
DOM,2016,10527592
DOM,2017,10647244
DOM,2018,10765531
DOM,2019,10881882
ECU,1990,10449837
ECU,1991,10686279
ECU,1992,10914222
ECU,1993,11132829
ECU,1994,11347652
ECU,1995,11561683
ECU,1996,11775221
ECU,1997,11987838
ECU,1998,12199693
ECU,1999,12412046
ECU,2000,12626507
ECU,2001,12845521
ECU,2002,13070609
ECU,2003,13301184
ECU,2004,13534593
ECU,2005,13770012
ECU,2006,14009061
ECU,2007,14251835
ECU,2008,14496797
ECU,2009,14742766
ECU,2010,14989585
ECU,2011,15237728
ECU,2012,15483883
ECU,2013,15722989
ECU,2014,15957994
ECU,2015,16195902
ECU,2016,16439585
ECU,2017,16696944
ECU,2018,17015672
ECU,2019,17343740
EGY,1990,57214630
EGY,1991,58611032
EGY,1992,59989142
EGY,1993,61382200
EGY,1994,62775847
EGY,1995,64166908
EGY,1996,65565195
EGY,1997,66993728
EGY,1998,68446011
EGY,1999,69907887
EGY,2000,71371371
EGY,2001,72854261
EGY,2002,74393759
EGY,2003,75963322
EGY,2004,77522427
EGY,2005,79075310
EGY,2006,80629670
EGY,2007,82218755
EGY,2008,83844783
EGY,2009,85501064
EGY,2010,87252413
EGY,2011,89200054
EGY,2012,91240376
EGY,2013,93377890
EGY,2014,95592324
EGY,2015,97723799
EGY,2016,99784030
EGY,2017,101789386
EGY,2018,103740765
EGY,2019,105618671
SLV,1990,5367179
SLV,1991,5461070
SLV,1992,5552206
SLV,1993,5630987
SLV,1994,5693038
SLV,1995,5748195
SLV,1996,5797140
SLV,1997,5842638
SLV,1998,5885083
SLV,1999,5923852
SLV,2000,5958482
SLV,2001,5988095
SLV,2002,6011275
SLV,2003,6026849
SLV,2004,6035655
SLV,2005,6037817
SLV,2006,6034436
SLV,2007,6044131
SLV,2008,6068099
SLV,2009,6091188
SLV,2010,6114034
SLV,2011,6137349
SLV,2012,6161289
SLV,2013,6185642
SLV,2014,6209526
SLV,2015,6231066
SLV,2016,6250510
SLV,2017,6266654
SLV,2018,6276342
SLV,2019,6280217
GNQ,1990,465549
GNQ,1991,483142
GNQ,1992,501334
GNQ,1993,520236
GNQ,1994,539992
GNQ,1995,560740
GNQ,1996,582573
GNQ,1997,605570
GNQ,1998,629734
GNQ,1999,655029
GNQ,2000,684977
GNQ,2001,719270
GNQ,2002,754115
GNQ,2003,789681
GNQ,2004,826355
GNQ,2005,864726
GNQ,2006,905418
GNQ,2007,948814
GNQ,2008,994971
GNQ,2009,1043686
GNQ,2010,1094524
GNQ,2011,1144588
GNQ,2012,1193636
GNQ,2013,1243941
GNQ,2014,1295183
GNQ,2015,1346973
GNQ,2016,1398927
GNQ,2017,1450694
GNQ,2018,1502091
GNQ,2019,1553031
ERI,1990,2149960
ERI,1991,2039220
ERI,1992,1921153
ERI,1993,1981419
ERI,1994,2042500
ERI,1995,2157220
ERI,1996,2264073
ERI,1997,2291561
ERI,1998,2322753
ERI,1999,2356477
ERI,2000,2392880
ERI,2001,2461927
ERI,2002,2547424
ERI,2003,2653390
ERI,2004,2763140
ERI,2005,2831732
ERI,2006,2880093
ERI,2007,2926168
ERI,2008,3005779
ERI,2009,3083888
ERI,2010,3147727
ERI,2011,3207570
ERI,2012,3252596
ERI,2013,3296367
ERI,2014,3323425
ERI,2015,3340006
ERI,2016,3365287
ERI,2017,3396933
ERI,2018,3445374
ERI,2019,3498818
EST,1990,1569174
EST,1991,1561314
EST,1992,1533091
EST,1993,1494128
EST,1994,1462514
EST,1995,1436634
EST,1996,1415594
EST,1997,1399535
EST,1998,1386156
EST,1999,1390244
EST,2000,1396985
EST,2001,1388115
EST,2002,1379350
EST,2003,1370720
EST,2004,1362550
EST,2005,1354775
EST,2006,1346810
EST,2007,1340680
EST,2008,1337090
EST,2009,1334515
EST,2010,1331475
EST,2011,1327439
EST,2012,1322696
EST,2013,1317997
EST,2014,1314545
EST,2015,1315407
EST,2016,1315790
EST,2017,1317384
EST,2018,1321977
EST,2019,1326898
SWZ,1990,854011
SWZ,1991,889712
SWZ,1992,925165
SWZ,1993,953451
SWZ,1994,953737
SWZ,1995,953573
SWZ,1996,973587
SWZ,1997,990734
SWZ,1998,1005158
SWZ,1999,1018370
SWZ,2000,1030496
SWZ,2001,1041396
SWZ,2002,1050809
SWZ,2003,1058797
SWZ,2004,1065764
SWZ,2005,1071886
SWZ,2006,1077735
SWZ,2007,1084008
SWZ,2008,1089870
SWZ,2009,1094886
SWZ,2010,1099920
SWZ,2011,1105371
SWZ,2012,1111444
SWZ,2013,1118319
SWZ,2014,1125865
SWZ,2015,1133936
SWZ,2016,1142524
SWZ,2017,1151390
SWZ,2018,1160428
SWZ,2019,1169613
ETH,1990,47878073
ETH,1991,49937430
ETH,1992,52011554
ETH,1993,53791672
ETH,1994,55620211
ETH,1995,57476536
ETH,1996,59347649
ETH,1997,61233480
ETH,1998,63136493
ETH,1999,65077579
ETH,2000,67031867
ETH,2001,69018932
ETH,2002,71073215
ETH,2003,73168838
ETH,2004,75301026
ETH,2005,77469940
ETH,2006,79691050
ETH,2007,81996185
ETH,2008,84357105
ETH,2009,86755585
ETH,2010,89237791
ETH,2011,91817929
ETH,2012,94451280
ETH,2013,97084366
ETH,2014,99746766
ETH,2015,102471895
ETH,2016,105293228
ETH,2017,108197950
ETH,2018,111129438
ETH,2019,114120594
FJI,1990,780430
FJI,1991,784832
FJI,1992,786859
FJI,1993,789198
FJI,1994,790803
FJI,1995,792246
FJI,1996,796538
FJI,1997,804572
FJI,1998,813947
FJI,1999,823422
FJI,2000,832509
FJI,2001,841320
FJI,2002,849891
FJI,2003,858306
FJI,2004,866694
FJI,2005,874923
FJI,2006,883083
FJI,2007,890648
FJI,2008,896731
FJI,2009,901383
FJI,2010,905169
FJI,2011,908355
FJI,2012,911059
FJI,2013,913453
FJI,2014,915560
FJI,2015,917200
FJI,2016,918371
FJI,2017,919019
FJI,2018,918996
FJI,2019,918465
FIN,1990,4986431
FIN,1991,5013740
FIN,1992,5041992
FIN,1993,5066447
FIN,1994,5088333
FIN,1995,5107790
FIN,1996,5124573
FIN,1997,5139835
FIN,1998,5153498
FIN,1999,5165474
FIN,2000,5176209
FIN,2001,5188008
FIN,2002,5200598
FIN,2003,5213014
FIN,2004,5228172
FIN,2005,5246096
FIN,2006,5266268
FIN,2007,5288720
FIN,2008,5313399
FIN,2009,5338871
FIN,2010,5363352
FIN,2011,5388272
FIN,2012,5413971
FIN,2013,5438972
FIN,2014,5461512
FIN,2015,5479531
FIN,2016,5495303
FIN,2017,5508214
FIN,2018,5515525
FIN,2019,5521606
FRA,1990,58044701
FRA,1991,58557577
FRA,1992,58849943
FRA,1993,59106166
FRA,1994,59327585
FRA,1995,59543659
FRA,1996,59756533
FRA,1997,59969944
FRA,1998,60192790
FRA,1999,60504420
FRA,2000,60921384
FRA,2001,61367388
FRA,2002,61816234
FRA,2003,62256970
FRA,2004,62716306
FRA,2005,63188395
FRA,2006,63628261
FRA,2007,64021737
FRA,2008,64379696
FRA,2009,64710879
FRA,2010,65030575
FRA,2011,65345233
FRA,2012,65662240
FRA,2013,66002289
FRA,2014,66312067
FRA,2015,66548272
FRA,2016,66724104
FRA,2017,66918020
FRA,2018,67158348
FRA,2019,67388001
GAB,1990,983028
GAB,1991,1009995
GAB,1992,1037446
GAB,1993,1065390
GAB,1994,1093611
GAB,1995,1121964
GAB,1996,1150601
GAB,1997,1179806
GAB,1998,1209832
GAB,1999,1240764
GAB,2000,1272935
GAB,2001,1306590
GAB,2002,1341696
GAB,2003,1378398
GAB,2004,1417110
GAB,2005,1458353
GAB,2006,1502534
GAB,2007,1549774
GAB,2008,1599978
GAB,2009,1653542
GAB,2010,1711105
GAB,2011,1772500
GAB,2012,1836705
GAB,2013,1902226
GAB,2014,1966855
GAB,2015,2028517
GAB,2016,2086206
GAB,2017,2140215
GAB,2018,2192012
GAB,2019,2242785
GMB,1990,1040616
GMB,1991,1083536
GMB,1992,1127152
GMB,1993,1168309
GMB,1994,1205882
GMB,1995,1242155
GMB,1996,1279070
GMB,1997,1317002
GMB,1998,1356189
GMB,1999,1396499
GMB,2000,1437539
GMB,2001,1479449
GMB,2002,1522223
GMB,2003,1566257
GMB,2004,1612225
GMB,2005,1660368
GMB,2006,1711294
GMB,2007,1764883
GMB,2008,1820542
GMB,2009,1878119
GMB,2010,1937275
GMB,2011,1998212
GMB,2012,2061014
GMB,2013,2124869
GMB,2014,2189019
GMB,2015,2253133
GMB,2016,2317206
GMB,2017,2381182
GMB,2018,2444916
GMB,2019,2508883
GEO,1990,4802000
GEO,1991,4835900
GEO,1992,4873500
GEO,1993,4911100
GEO,1994,4836076
GEO,1995,4657722
GEO,1996,4491699
GEO,1997,4349913
GEO,1998,4243607
GEO,1999,4157192
GEO,2000,4077131
GEO,2001,4014373
GEO,2002,3978515
GEO,2003,3951736
GEO,2004,3927340
GEO,2005,3902469
GEO,2006,3880347
GEO,2007,3860158
GEO,2008,3848449
GEO,2009,3814419
GEO,2010,3786695
GEO,2011,3756441
GEO,2012,3728874
GEO,2013,3717668
GEO,2014,3719414
GEO,2015,3725276
GEO,2016,3727505
GEO,2017,3728004
GEO,2018,3726549
GEO,2019,3720161
DEU,1990,79433029
DEU,1991,80013896
DEU,1992,80624598
DEU,1993,81156363
DEU,1994,81438348
DEU,1995,81678051
DEU,1996,81914831
DEU,1997,82034771
DEU,1998,82047195
DEU,1999,82100243
DEU,2000,82211508
DEU,2001,82349925
DEU,2002,82488495
DEU,2003,82534176
DEU,2004,82516260
DEU,2005,82469422
DEU,2006,82376451
DEU,2007,82266372
DEU,2008,82110097
DEU,2009,81902307
DEU,2010,81776930
DEU,2011,80274983
DEU,2012,80425823
DEU,2013,80645605
DEU,2014,80982500
DEU,2015,81686611
DEU,2016,82348669
DEU,2017,82657002
DEU,2018,82905782
DEU,2019,83092962
GHA,1990,15446982
GHA,1991,15843471
GHA,1992,16241548
GHA,1993,16643633
GHA,1994,17040854
GHA,1995,17438874
GHA,1996,17844010
GHA,1997,18268040
GHA,1998,18714708
GHA,1999,19176791
GHA,2000,19665502
GHA,2001,20195577
GHA,2002,20758326
GHA,2003,21329514
GHA,2004,21906444
GHA,2005,22496951
GHA,2006,23098586
GHA,2007,23708320
GHA,2008,24326087
GHA,2009,24950762
GHA,2010,25574719
GHA,2011,26205941
GHA,2012,26858762
GHA,2013,27525597
GHA,2014,28196358
GHA,2015,28870939
GHA,2016,29554303
GHA,2017,30222262
GHA,2018,30870641
GHA,2019,31522290
GRC,1990,10196792
GRC,1991,10319927
GRC,1992,10399061
GRC,1993,10460415
GRC,1994,10512922
GRC,1995,10562153
GRC,1996,10608800
GRC,1997,10661259
GRC,1998,10720509
GRC,1999,10761698
GRC,2000,10805808
GRC,2001,10862132
GRC,2002,10902022
GRC,2003,10928070
GRC,2004,10955141
GRC,2005,10987314
GRC,2006,11020362
GRC,2007,11048473
GRC,2008,11077841
GRC,2009,11107017
GRC,2010,11121341
GRC,2011,11104899
GRC,2012,11045011
GRC,2013,10965211
GRC,2014,10892413
GRC,2015,10820883
GRC,2016,10775971
GRC,2017,10754679
GRC,2018,10732882
GRC,2019,10721582
GRL,1990,55600
GRL,1991,55500
GRL,1992,55300
GRL,1993,55200
GRL,1994,55500
GRL,1995,55800
GRL,1996,55900
GRL,1997,56000
GRL,1998,56100
GRL,1999,56100
GRL,2000,56200
GRL,2001,56350
GRL,2002,56609
GRL,2003,56765
GRL,2004,56911
GRL,2005,56935
GRL,2006,56774
GRL,2007,56555
GRL,2008,56328
GRL,2009,56323
GRL,2010,56905
GRL,2011,56890
GRL,2012,56810
GRL,2013,56483
GRL,2014,56295
GRL,2015,56114
GRL,2016,56186
GRL,2017,56172
GRL,2018,56023
GRL,2019,56225
GRD,1990,99047
GRD,1991,99758
GRD,1992,101040
GRD,1993,102173
GRD,1994,103174
GRD,1995,104060
GRD,1996,104846
GRD,1997,105549
GRD,1998,106200
GRD,1999,106823
GRD,2000,107432
GRD,2001,107936
GRD,2002,108231
GRD,2003,108740
GRD,2004,109516
GRD,2005,110254
GRD,2006,110988
GRD,2007,111725
GRD,2008,112478
GRD,2009,113249
GRD,2010,114039
GRD,2011,114918
GRD,2012,115912
GRD,2013,116945
GRD,2014,117972
GRD,2015,118980
GRD,2016,119966
GRD,2017,120921
GRD,2018,121838
GRD,2019,122724
GUM,1990,138263
GUM,1991,140739
GUM,1992,143173
GUM,1993,145541
GUM,1994,147843
GUM,1995,150094
GUM,1996,152261
GUM,1997,154330
GUM,1998,156357
GUM,1999,158395
GUM,2000,160188
GUM,2001,161524
GUM,2002,162563
GUM,2003,163385
GUM,2004,164004
GUM,2005,164430
GUM,2006,164675
GUM,2007,164763
GUM,2008,164725
GUM,2009,164580
GUM,2010,164905
GUM,2011,165649
GUM,2012,166392
GUM,2013,167054
GUM,2014,167543
GUM,2015,167978
GUM,2016,168346
GUM,2017,168606
GUM,2018,168678
GUM,2019,168624
GTM,1990,9050115
GTM,1991,9296814
GTM,1992,9544055
GTM,1993,9790619
GTM,1994,10037522
GTM,1995,10286786
GTM,1996,10536942
GTM,1997,10788362
GTM,1998,11046215
GTM,1999,11311078
GTM,2000,11589761
GTM,2001,11871565
GTM,2002,12147518
GTM,2003,12415334
GTM,2004,12682108
GTM,2005,12948292
GTM,2006,13213330
GTM,2007,13477017
GTM,2008,13739299
GTM,2009,14000190
GTM,2010,14259687
GTM,2011,14521515
GTM,2012,14781942
GTM,2013,15043981
GTM,2014,15306316
GTM,2015,15567419
GTM,2016,15827690
GTM,2017,16087418
GTM,2018,16346950
GTM,2019,16604026
GIN,1990,6354145
GIN,1991,6615734
GIN,1992,6832195
GIN,1993,7046097
GIN,1994,7262112
GIN,1995,7468347
GIN,1996,7683115
GIN,1997,7842806
GIN,1998,7992545
GIN,1999,8174897
GIN,2000,8336967
GIN,2001,8445717
GIN,2002,8577790
GIN,2003,8772254
GIN,2004,8961039
GIN,2005,9140114
GIN,2006,9330625
GIN,2007,9547082
GIN,2008,9779785
GIN,2009,10021323
GIN,2010,10270728
GIN,2011,10527712
GIN,2012,10788692
GIN,2013,11055430
GIN,2014,11333365
GIN,2015,11625998
GIN,2016,11930985
GIN,2017,12240789
GIN,2018,12554864
GIN,2019,12877539
GNB,1990,973551
GNB,1991,993856
GNB,1992,1022904
GNB,1993,1056761
GNB,1994,1089617
GNB,1995,1117222
GNB,1996,1140604
GNB,1997,1162443
GNB,1998,1184071
GNB,1999,1206474
GNB,2000,1230849
GNB,2001,1257380
GNB,2002,1285678
GNB,2003,1315653
GNB,2004,1347009
GNB,2005,1379713
GNB,2006,1414091
GNB,2007,1450572
GNB,2008,1488431
GNB,2009,1527196
GNB,2010,1567220
GNB,2011,1609017
GNB,2012,1652717
GNB,2013,1697753
GNB,2014,1743309
GNB,2015,1788919
GNB,2016,1834552
GNB,2017,1879826
GNB,2018,1924955
GNB,2019,1970457
GUY,1990,747116
GUY,1991,744096
GUY,1992,744998
GUY,1993,747189
GUY,1994,749546
GUY,1995,751689
GUY,1996,753571
GUY,1997,755211
GUY,1998,756697
GUY,1999,758014
GUY,2000,759051
GUY,2001,759809
GUY,2002,760323
GUY,2003,760562
GUY,2004,760424
GUY,2005,759709
GUY,2006,758367
GUY,2007,756521
GUY,2008,754150
GUY,2009,751258
GUY,2010,747932
GUY,2011,744230
GUY,2012,743966
GUY,2013,747420
GUY,2014,751115
GUY,2015,755031
GUY,2016,759087
GUY,2017,763252
GUY,2018,785514
GUY,2019,798753
HTI,1990,6925331
HTI,1991,7066055
HTI,1992,7205780
HTI,1993,7345940
HTI,1994,7486091
HTI,1995,7627316
HTI,1996,7770593
HTI,1997,7915172
HTI,1998,8060896
HTI,1999,8208941
HTI,2000,8360225
HTI,2001,8511728
HTI,2002,8661546
HTI,2003,8812245
HTI,2004,8961489
HTI,2005,9111900
HTI,2006,9266288
HTI,2007,9420826
HTI,2008,9575247
HTI,2009,9730638
HTI,2010,9842880
HTI,2011,9954312
HTI,2012,10108539
HTI,2013,10261206
HTI,2014,10412740
HTI,2015,10563757
HTI,2016,10713849
HTI,2017,10863543
HTI,2018,11012421
HTI,2019,11160438
HND,1990,5053234
HND,1991,5196887
HND,1992,5344774
HND,1993,5496841
HND,1994,5652934
HND,1995,5812832
HND,1996,5976550
HND,1997,6144112
HND,1998,6308537
HND,1999,6477365
HND,2000,6656725
HND,2001,6837861
HND,2002,7019908
HND,2003,7201881
HND,2004,7383407
HND,2005,7564613
HND,2006,7745200
HND,2007,7924462
HND,2008,8101777
HND,2009,8277302
HND,2010,8450933
HND,2011,8622504
HND,2012,8792367
HND,2013,8960657
HND,2014,9127846
HND,2015,9294505
HND,2016,9460798
HND,2017,9626842
HND,2018,9792850
HND,2019,9958829
HUN,1990,10373988
HUN,1991,10373400
HUN,1992,10369341
HUN,1993,10357523
HUN,1994,10343355
HUN,1995,10328965
HUN,1996,10311238
HUN,1997,10290486
HUN,1998,10266570
HUN,1999,10237530
HUN,2000,10210971
HUN,2001,10187576
HUN,2002,10158608
HUN,2003,10129552
HUN,2004,10107146
HUN,2005,10087065
HUN,2006,10071370
HUN,2007,10055780
HUN,2008,10038188
HUN,2009,10022650
HUN,2010,10000023
HUN,2011,9971727
HUN,2012,9920362
HUN,2013,9893082
HUN,2014,9866468
HUN,2015,9843028
HUN,2016,9814023
HUN,2017,9787966
HUN,2018,9775564
HUN,2019,9771141
ISL,1990,254826
ISL,1991,257797
ISL,1992,261057
ISL,1993,263725
ISL,1994,266021
ISL,1995,267468
ISL,1996,268916
ISL,1997,271128
ISL,1998,274047
ISL,1999,277381
ISL,2000,281205
ISL,2001,284968
ISL,2002,287523
ISL,2003,289521
ISL,2004,292074
ISL,2005,296734
ISL,2006,303782
ISL,2007,311566
ISL,2008,317414
ISL,2009,318499
ISL,2010,318041
ISL,2011,319014
ISL,2012,320716
ISL,2013,323764
ISL,2014,327386
ISL,2015,330815
ISL,2016,335439
ISL,2017,343400
ISL,2018,352721
ISL,2019,360563
IND,1990,870452165
IND,1991,888941756
IND,1992,907574049
IND,1993,926351297
IND,1994,945261958
IND,1995,964279129
IND,1996,983281218
IND,1997,1002335230
IND,1998,1021434576
IND,1999,1040500054
IND,2000,1059633675
IND,2001,1078970907
IND,2002,1098313039
IND,2003,1117415123
IND,2004,1136264583
IND,2005,1154638713
IND,2006,1172373788
IND,2007,1189691809
IND,2008,1206734806
IND,2009,1223640160
IND,2010,1240613620
IND,2011,1257621191
IND,2012,1274487215
IND,2013,1291132063
IND,2014,1307246509
IND,2015,1322866505
IND,2016,1338636340
IND,2017,1354195680
IND,2018,1369003306
IND,2019,1383112050
IDN,1990,182159874
IDN,1991,185361228
IDN,1992,188558416
IDN,1993,191737287
IDN,1994,194928533
IDN,1995,198140162
IDN,1996,201373791
IDN,1997,204628007
IDN,1998,207855486
IDN,1999,210996910
IDN,2000,214072421
IDN,2001,217112437
IDN,2002,220115092
IDN,2003,223080121
IDN,2004,225938595
IDN,2005,228805144
IDN,2006,231797427
IDN,2007,234858289
IDN,2008,237936543
IDN,2009,240981299
IDN,2010,244016173
IDN,2011,247099697
IDN,2012,250222695
IDN,2013,253275918
IDN,2014,256229761
IDN,2015,259091970
IDN,2016,261850182
IDN,2017,264498852
IDN,2018,267066843
IDN,2019,269582878
IRN,1990,55793629
IRN,1991,57990883
IRN,1992,59372016
IRN,1993,59755430
IRN,1994,59985749
IRN,1995,60794809
IRN,1996,61598378
IRN,1997,62480533
IRN,1998,63461421
IRN,1999,64474745
IRN,2000,65544383
IRN,2001,66674851
IRN,2002,67327117
IRN,2003,67954699
IRN,2004,69061674
IRN,2005,70182594
IRN,2006,71275760
IRN,2007,72319418
IRN,2008,73318394
IRN,2009,74322685
IRN,2010,75373855
IRN,2011,76342971
IRN,2012,77324451
IRN,2013,78458928
IRN,2014,79961672
IRN,2015,81790841
IRN,2016,83306231
IRN,2017,84505076
IRN,2018,85617562
IRN,2019,86564202
IRQ,1990,17658381
IRQ,1991,17846378
IRQ,1992,18385673
IRQ,1993,19295818
IRQ,1994,20248073
IRQ,1995,20948858
IRQ,1996,21639332
IRQ,1997,22330770
IRQ,1998,23053488
IRQ,1999,23820734
IRQ,2000,24628858
IRQ,2001,25425663
IRQ,2002,26255343
IRQ,2003,27068823
IRQ,2004,27858948
IRQ,2005,28698684
IRQ,2006,28905607
IRQ,2007,28660887
IRQ,2008,29218381
IRQ,2009,30289040
IRQ,2010,31264875
IRQ,2011,32378061
IRQ,2012,33864447
IRQ,2013,35481800
IRQ,2014,36746488
IRQ,2015,37757813
IRQ,2016,38697943
IRQ,2017,39621162
IRQ,2018,40590700
IRQ,2019,41563520
IRL,1990,3513974
IRL,1991,3534235
IRL,1992,3558430
IRL,1993,3576261
IRL,1994,3590386
IRL,1995,3608841
IRL,1996,3637510
IRL,1997,3674171
IRL,1998,3712696
IRL,1999,3754786
IRL,2000,3805174
IRL,2001,3866243
IRL,2002,3931947
IRL,2003,3996521
IRL,2004,4070262
IRL,2005,4159914
IRL,2006,4273591
IRL,2007,4398942
IRL,2008,4489544
IRL,2009,4535375
IRL,2010,4560155
IRL,2011,4580084
IRL,2012,4599533
IRL,2013,4623816
IRL,2014,4657740
IRL,2015,4701957
IRL,2016,4755335
IRL,2017,4807388
IRL,2018,4867316
IRL,2019,4934340
ISR,1990,4660000
ISR,1991,4949000
ISR,1992,5123000
ISR,1993,5261000
ISR,1994,5399000
ISR,1995,5545000
ISR,1996,5692000
ISR,1997,5836000
ISR,1998,5971000
ISR,1999,6125000
ISR,2000,6289000
ISR,2001,6439000
ISR,2002,6570000
ISR,2003,6689700
ISR,2004,6809000
ISR,2005,6930100
ISR,2006,7053700
ISR,2007,7180100
ISR,2008,7308800
ISR,2009,7485600
ISR,2010,7623600
ISR,2011,7765800
ISR,2012,7910500
ISR,2013,8059500
ISR,2014,8215700
ISR,2015,8380100
ISR,2016,8546000
ISR,2017,8713300
ISR,2018,8882800
ISR,2019,9054000
ITA,1990,56719240
ITA,1991,56758521
ITA,1992,56797087
ITA,1993,56831821
ITA,1994,56843400
ITA,1995,56844303
ITA,1996,56860281
ITA,1997,56890372
ITA,1998,56906744
ITA,1999,56916317
ITA,2000,56942108
ITA,2001,56974100
ITA,2002,57059007
ITA,2003,57313203
ITA,2004,57685327
ITA,2005,57969484
ITA,2006,58143979
ITA,2007,58438310
ITA,2008,58826731
ITA,2009,59095365
ITA,2010,59277417
ITA,2011,59379449
ITA,2012,59539717
ITA,2013,60233948
ITA,2014,60789140
