Country/Territory,Meningitis,Alzheimer's Disease and Other Dementias,Parkinson's Disease,Nutritional Deficiencies,Malaria,Drowning,Interpersonal Violence,Maternal Disorders,HIV/AIDS,Drug Use Disorders,Tuberculosis,Cardiovascular Diseases,Lower Respiratory Infections,Neonatal Disorders,Alcohol Use Disorders,Self-harm,Exposure to Forces of Nature,Diarrheal Diseases,Environmental Heat and Cold Exposure,Neoplasms,Conflict and Terrorism,Diabetes Mellitus,Chronic Kidney Disease,Poisonings,Protein-Energy Malnutrition,Road Injuries,Chronic Respiratory Diseases,Cirrhosis and Other Chronic Liver Diseases,Digestive Diseases,"Fire, Heat, and Hot Substances",Acute Hepatitis,Country Income Category,Current Amount of Aid Given by US ($USD),Constant Amount of Aid Given by US ($USD),Longitude,Latitude
Bahamas,123,1167,323,170,0,714,2437,109,4845,43,242,18249,2208,1071,379,278,107,147,30,11673,15,3203,2086,36,144,1751,1053,1401,2655,297,9,High Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income Country,171543438,234627659,-77.39628,25.03428
Bahrain,103,983,319,103,0,359,676,155,268,57,336,24253,1518,1770,112,1840,0,248,17,12653,56,9342,2711,54,97,4392,3361,2309,3785,356,102,High Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income Country,574479160,851760062,50.637772,25.930414
Bangladesh,94565,227497,75527,702268,349375,711803,112401,314015,4434,6583,1441614,6123691,2062670,2772388,7907,260847,155003,1579876,4791,2064156,3456,597943,282841,15411,599026,249894,1750541,768520,1250266,47594,166599,Lower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income Country,5224841982,7142251080,90.356331,23.684994
Barbados,134,2385,597,255,0,349,902,59,1189,24,70,23478,3911,885,173,398,3,170,0,17933,10,7606,2496,19,175,952,1451,1124,2710,146,9,High Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income Country,55397740,78219311,-59.543198,13.193887
Belarus,2701,79003,15464,1626,0,35256,32190,540,7161,8045,16465,2188431,38157,10522,74867,95640,43,703,25475,590695,104,15821,12002,16447,835,55638,118231,59907,113098,23580,724,Upper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income Country,594372428,917129491,27.953389,53.709807
Belgium,1121,93331,20241,4879,0,1830,3877,152,2087,3397,2455,686905,101784,5002,8099,46223,22,10482,873,614859,15,35256,42411,1063,4224,27098,139842,39677,103104,2817,157,High Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income Country,85383298,114909560,4.469936,50.503887
Belize,101,855,205,393,5,607,1935,114,1842,21,417,9582,2590,2127,175,525,64,442,0,5367,54,2757,1792,60,361,1785,1325,1151,1902,107,11,Upper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income Country,179859999,257033059,-88.49765,17.189877
Benin,69978,13464,3804,44748,316834,11517,16162,34853,80892,261,79509,246509,271088,321322,1401,14955,122,196720,1751,101713,31,29925,33309,5654,43399,45197,44797,46718,79638,7791,6281,Low Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income Country,1717833966,2284618688,2.315834,9.30769
Bermuda,0,66,18,0,0,6,7,0,24,3,0,509,43,5,3,9,0,0,0,438,0,63,44,0,0,22,43,21,50,0,0,High Income CountryHigh Income CountryHigh Income Country,67728,90765,-64.75737,32.321384
Bhutan,911,1007,342,498,2548,585,180,874,459,29,3405,18482,5110,9625,112,760,24,3906,36,6926,9,1961,2098,57,376,1383,9067,3016,5084,179,387,Lower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income Country,11540855,15670639,90.433601,27.514162
Bolivia,8475,24922,9852,39396,787,17931,17062,20557,18229,1092,80073,336227,224508,155501,8816,17950,1172,45190,669,273812,25,69124,78087,2843,36918,58489,76607,68986,131926,6173,961,Lower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income Country,3328320313,5312338638,-63.588653,-16.290154
Bosnia and Herzegovina,394,20666,6982,111,0,1773,3404,128,79,205,5695,456085,10919,5530,4510,11380,41,279,286,219242,18728,43255,14340,1161,44,6220,33529,18185,34006,1750,141,Upper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income Country,2466474757,3789008884,17.679076,43.915886
Botswana,3835,2887,807,5394,662,2607,9718,2068,263306,173,29548,81565,39769,27934,665,10560,35,24860,576,42180,8,20696,8749,1091,5265,15000,18118,10592,20318,2748,325,Upper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income Country,1319951138,1774728320,24.684866,-22.328474
Brazil,136709,924942,171324,333626,39970,250078,1762967,72806,447733,15695,223259,9589019,1997167,1667293,225603,345404,6817,528838,3037,5606779,598,1315755,820933,7754,312031,1352192,1743233,927027,1776565,59981,8977,Upper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income Country,763205456,1059029090,-51.92528,-14.235004
Brunei,12,189,104,11,0,164,64,26,53,22,185,4458,682,267,12,218,3,27,11,4376,0,1567,637,11,0,606,858,270,526,47,33,High Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income Country,818556,1007548,114.727669,4.535277
Bulgaria,2152,69091,24665,315,0,7408,9627,565,1830,1664,7060,2423467,80506,9562,5238,47203,83,932,4375,555720,50,74257,44226,2897,129,33528,99884,77343,125903,4586,253,Upper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income Country,825686704,1230302228,25.48583,42.733883
Burkina Faso,175973,25070,6915,140980,950762,19688,37008,46191,333448,870,178470,441449,613248,451659,2993,30023,156,553691,2958,187817,1383,58916,55275,13499,135194,102398,60148,77027,142102,15183,8774,Low Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income Country,1518748870,2007191868,-1.561593,12.238333
Burundi,45933,9765,2688,92461,320767,9904,2595,39659,312891,291,259426,262614,212757,244032,1844,19662,235,278912,2161,118648,163935,34307,24401,6953,89396,46865,62573,47720,81242,7316,5160,Low Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income Country,1166165532,1606010643,29.918886,-3.373056
Cambodia,16138,29730,7467,50348,13505,42415,14445,32001,104487,801,258403,610359,507250,205088,3476,20553,1685,120610,133,278331,4859,68902,46626,2619,47177,82216,108599,189074,293928,7357,8616,Lower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income Country,1915760895,2578995331,104.990963,12.565679
Cameroon,96161,26747,9292,42368,614095,16677,18472,82600,743352,1280,202990,546358,482863,446827,3772,44504,192,718882,3131,263938,7133,97869,97328,9994,40188,139475,101447,99702,168672,13303,16362,Lower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income Country,1181955614,1502047359,12.354722,7.369722
Canada,2041,253688,65957,6683,0,6255,11252,552,7797,31583,2944,1525036,147850,21409,23469,94580,221,28077,2680,1588865,179,146798,115895,2699,5554,58009,304963,92859,217950,6315,269,High Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income Country,388085080,502345748,-106.346771,56.130366
Central African Republic,31409,3533,1235,38999,134706,9175,11668,25629,279310,279,226165,166728,178957,154874,1460,15116,24,233318,1214,63736,14808,23653,15374,4131,37846,72709,39544,27344,53671,4625,4039,Low Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income Country,884584723,1080775575,20.939444,6.611111
Chad,116529,15577,4519,124953,195599,15683,21365,69912,137491,247,196181,307518,515058,381761,1857,20414,272,762160,2963,123767,11663,35722,39464,8304,122238,55181,66005,62157,114101,10891,14871,Low Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income Country,2167213451,2810203176,18.732207,15.454166
Chile,5139,83528,24452,13622,0,14523,25098,2106,12667,1104,18268,722163,145744,29297,13931,62462,1362,9474,1451,683226,44,76500,91121,1520,12987,69879,131062,126817,200149,11910,230,High Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income Country,194118727,297032670,-71.542969,-35.675147
Colombia,21865,206135,33628,49530,22275,40400,709555,18788,62413,2889,34691,1626208,214455,276396,2896,71521,5883,61359,607,1042371,33084,161139,174282,3442,47592,224805,346961,92316,252124,8913,749,Upper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income Country,13852627926,19080605475,-74.297333,4.570868
Comoros,2558,1534,351,3421,7430,498,1410,1179,19,34,10556,25116,16932,17539,117,929,15,13514,127,11269,57,3388,2507,341,3267,3556,4226,3621,6863,432,319,Lower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income Country,22543134,33835837,43.872219,-11.875001
